Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -8.296       -8.296        0.000     0.0
0.0010           -8.274       -8.296        0.022     1.3
0.0020           -8.256       -8.296        0.039     2.4
0.0030           -8.240       -8.296        0.056     3.4
0.0040           -8.225       -8.296        0.070     4.2
0.0050           -8.209       -8.296        0.087     5.3
0.0060           -8.188       -8.296        0.108     6.5
0.0070           -8.169       -8.296        0.127     7.7
0.0080           -8.151       -8.296        0.145     8.7
0.0090           -8.130       -8.296        0.165    10.0
0.0100           -8.120       -8.296        0.176    10.6
0.0110           -8.097       -8.296        0.199    12.0
0.0120           -8.083       -8.296        0.213    12.9
0.0130           -8.063       -8.296        0.233    14.1
0.0140           -8.031       -8.297        0.266    16.1
0.0150           -8.007       -8.297        0.290    17.5
0.0160           -7.984       -8.297        0.313    18.9
0.0170           -7.955       -8.297        0.342    20.7
0.0180           -7.945       -8.298        0.352    21.3
0.0190           -7.946       -8.298        0.352    21.3
0.0200           -7.915       -8.299        0.383    23.2
0.0210           -7.889       -8.299        0.410    24.8
0.0220           -7.868       -8.300        0.432    26.1
0.0230           -7.866       -8.300        0.434    26.2
0.0240           -7.844       -8.301        0.457    27.6
0.0250           -7.826       -8.302        0.476    28.8
0.0260           -7.808       -8.303        0.494    29.9
0.0270           -7.785       -8.303        0.518    31.3
0.0280           -7.757       -8.304        0.547    33.1
0.0290           -7.751       -8.305        0.555    33.5
0.0300           -7.720       -8.306        0.586    35.4
0.0310           -7.717       -8.307        0.590    35.7
0.0320           -7.701       -8.309        0.608    36.7
0.0330           -7.675       -8.310        0.635    38.4
0.0340           -7.639       -8.311        0.672    40.6
0.0350           -7.639       -8.313        0.673    40.7
0.0360           -7.625       -8.314        0.689    41.7
0.0370           -7.599       -8.316        0.716    43.3
0.0380           -7.582       -8.318        0.736    44.5
0.0390           -7.553       -8.319        0.766    46.3
0.0400           -7.534       -8.321        0.787    47.6
0.0410           -7.531       -8.323        0.793    47.9
0.0420           -7.522       -8.325        0.804    48.6
0.0430           -7.498       -8.328        0.830    50.2
0.0440           -7.483       -8.330        0.847    51.2
0.0450           -7.487       -8.332        0.845    51.1
0.0460           -7.498       -8.335        0.837    50.6
0.0470           -7.500       -8.337        0.837    50.6
0.0480           -7.484       -8.340        0.856    51.7
0.0490           -7.473       -8.343        0.869    52.5
0.0500           -7.452       -8.346        0.894    54.0
0.0510           -7.433       -8.349        0.915    55.3
0.0520           -7.411       -8.352        0.941    56.9
0.0530           -7.390       -8.355        0.965    58.3
0.0540           -7.388       -8.358        0.971    58.7
0.0550           -7.382       -8.362        0.980    59.2
0.0560           -7.365       -8.365        1.000    60.4
0.0570           -7.332       -8.369        1.037    62.7
0.0580           -7.338       -8.373        1.035    62.6
0.0590           -7.337       -8.377        1.040    62.8
0.0600           -7.303       -8.381        1.078    65.2
0.0610           -7.307       -8.385        1.079    65.2
0.0620           -7.291       -8.390        1.099    66.4
0.0630           -7.275       -8.394        1.119    67.7
0.0640           -7.232       -8.399        1.168    70.6
0.0650           -7.238       -8.404        1.166    70.5
0.0660           -7.259       -8.409        1.150    69.5
0.0670           -7.248       -8.414        1.167    70.5
0.0680           -7.236       -8.419        1.183    71.5
0.0690           -7.207       -8.425        1.218    73.6
0.0700           -7.175       -8.431        1.255    75.9
0.0710           -7.161       -8.436        1.275    77.1
0.0720           -7.148       -8.442        1.294    78.2
0.0730           -7.097       -8.449        1.352    81.7
0.0740           -7.067       -8.455        1.388    83.9
0.0750           -7.047       -8.462        1.415    85.5
0.0760           -7.075       -8.469        1.394    84.2
0.0770           -7.058       -8.476        1.418    85.7
0.0780           -7.055       -8.483        1.428    86.3
0.0790           -7.013       -8.491        1.477    89.3
0.0800           -7.047       -8.499        1.451    87.7
0.0810           -7.050       -8.506        1.457    88.1
0.0820           -7.037       -8.515        1.477    89.3
0.0830           -7.045       -8.523        1.478    89.3
0.0840           -7.031       -8.531        1.501    90.7
0.0850           -7.017       -8.540        1.524    92.1
0.0860           -6.983       -8.549        1.566    94.6
0.0870           -6.961       -8.559        1.598    96.6
0.0880           -6.941       -8.569        1.627    98.4
0.0890           -6.944       -8.579        1.635    98.8
0.0900           -6.921       -8.589        1.668   100.8
0.0910           -6.885       -8.600        1.715   103.6
0.0920           -6.877       -8.611        1.734   104.8
0.0930           -6.843       -8.623        1.779   107.5
0.0940           -6.829       -8.635        1.806   109.2
0.0950           -6.808       -8.647        1.839   111.1
0.0960           -6.804       -8.660        1.856   112.2
0.0970           -6.808       -8.673        1.865   112.7
0.0980           -6.784       -8.686        1.902   115.0
0.0990           -6.747       -8.700        1.953   118.0
0.1000           -6.702       -8.715        2.013   121.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -6.702       -8.715        2.013   121.6
0.0010           -6.691       -8.729        2.038   123.2
0.0020           -6.649       -8.745        2.096   126.7
0.0030           -6.650       -8.761        2.111   127.6
0.0040           -6.636       -8.777        2.141   129.4
0.0050           -6.641       -8.794        2.153   130.2
0.0060           -6.628       -8.811        2.183   132.0
0.0070           -6.627       -8.829        2.202   133.1
0.0080           -6.618       -8.847        2.230   134.8
0.0090           -6.602       -8.866        2.264   136.8
0.0100           -6.614       -8.886        2.271   137.3
0.0110           -6.662       -8.906        2.244   135.6
0.0120           -6.657       -8.926        2.269   137.1
0.0130           -6.674       -8.946        2.273   137.4
0.0140           -6.648       -8.968        2.319   140.2
0.0150           -6.675       -8.989        2.315   139.9
0.0160           -6.665       -9.012        2.346   141.8
0.0170           -6.624       -9.035        2.411   145.7
0.0180           -6.620       -9.059        2.439   147.4
0.0190           -6.608       -9.083        2.475   149.6
0.0200           -6.611       -9.108        2.497   150.9
0.0210           -6.632       -9.133        2.502   151.2
0.0220           -6.643       -9.159        2.517   152.1
0.0230           -6.638       -9.186        2.548   154.0
0.0240           -6.644       -9.214        2.570   155.3
0.0250           -6.659       -9.242        2.583   156.1
0.0260           -6.649       -9.270        2.622   158.5
0.0270           -6.689       -9.300        2.611   157.8
0.0280           -6.656       -9.330        2.674   161.6
0.0290           -6.674       -9.361        2.687   162.4
0.0300           -6.662       -9.393        2.730   165.0
0.0310           -6.648       -9.426        2.777   167.9
0.0320           -6.636       -9.459        2.824   170.7
0.0330           -6.599       -9.494        2.895   175.0
0.0340           -6.558       -9.531        2.973   179.7
0.0350           -6.568       -9.568        2.999   181.3
0.0360           -6.540       -9.606        3.066   185.3
0.0370           -6.515       -9.645        3.130   189.2
0.0380           -6.519       -9.685        3.166   191.4
0.0390           -6.524       -9.727        3.203   193.6
0.0400           -6.536       -9.770        3.233   195.4
0.0410           -6.509       -9.814        3.305   199.7
0.0420           -6.513       -9.859        3.346   202.2
0.0430           -6.533       -9.905        3.372   203.8
0.0440           -6.525       -9.953        3.428   207.2
0.0450           -6.538      -10.003        3.465   209.4
0.0460           -6.495      -10.054        3.559   215.1
0.0470           -6.471      -10.107        3.636   219.8
0.0480           -6.424      -10.161        3.737   225.9
0.0490           -6.367      -10.218        3.851   232.8
0.0500           -6.361      -10.276        3.916   236.7
0.0510           -6.366      -10.337        3.971   240.0
0.0520           -6.400      -10.399        3.999   241.7
0.0530           -6.401      -10.463        4.062   245.5
0.0540           -6.442      -10.530        4.088   247.1
0.0550           -6.442      -10.598        4.155   251.2
0.0560           -6.457      -10.668        4.211   254.5
0.0570           -6.495      -10.741        4.247   256.7
0.0580           -6.507      -10.816        4.309   260.5
0.0590           -6.487      -10.894        4.407   266.4
0.0600           -6.489      -10.974        4.485   271.1
0.0610           -6.518      -11.057        4.539   274.4
0.0620           -6.521      -11.143        4.622   279.4
0.0630           -6.548      -11.231        4.683   283.0
0.0640           -6.545      -11.323        4.778   288.8
0.0650           -6.548      -11.418        4.870   294.3
0.0660           -6.585      -11.516        4.931   298.0
0.0670           -6.571      -11.618        5.047   305.1
0.0680           -6.538      -11.724        5.186   313.4
0.0690           -6.492      -11.835        5.343   322.9
0.0700           -6.507      -11.951        5.444   329.1
0.0710           -6.467      -12.072        5.605   338.8
0.0720           -6.417      -12.199        5.781   349.4
0.0730           -6.450      -12.331        5.882   355.5
0.0740           -6.442      -12.470        6.028   364.3
0.0750           -6.420      -12.616        6.196   374.5
0.0760           -6.477      -12.768        6.290   380.2
0.0770           -6.395      -12.928        6.533   394.9
0.0780           -6.383      -13.096        6.713   405.7
0.0790           -6.361      -13.272        6.910   417.7
0.0800           -6.310      -13.458        7.148   432.0
0.0810           -6.384      -13.654        7.270   439.4
0.0820           -6.392      -13.860        7.468   451.4
0.0830           -6.443      -14.079        7.636   461.5
0.0840           -6.471      -14.309        7.838   473.7
0.0850           -6.526      -14.553        8.026   485.1
0.0860           -6.545      -14.810        8.265   499.5
0.0870           -6.546      -15.082        8.536   515.9
0.0880           -6.551      -15.370        8.819   533.0
0.0890           -6.597      -15.674        9.077   548.6
0.0900           -6.685      -15.991        9.306   562.5
0.0910           -6.706      -16.320        9.614   581.1
0.0920           -6.707      -16.654        9.947   601.2
0.0930           -6.681      -16.986       10.304   622.8
0.0940           -6.680      -17.299       10.620   641.8
0.0950           -6.736      -17.573       10.836   654.9
0.0960           -6.743      -17.787       11.044   667.5
0.0970           -6.774      -17.942       11.167   675.0
0.0980           -6.802      -18.077       11.275   681.5
0.0990           -6.839      -18.286       11.447   691.9
0.1000           -6.925      -18.658       11.732   709.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           -6.484       -6.484        0.000     0.0
0.0010           -6.466       -6.484        0.018     1.1
0.0020           -6.444       -6.484        0.040     2.4
0.0030           -6.421       -6.484        0.063     3.8
0.0040           -6.403       -6.484        0.081     4.9
0.0050           -6.375       -6.484        0.109     6.6
0.0060           -6.343       -6.484        0.141     8.5
0.0070           -6.318       -6.484        0.166    10.0
0.0080           -6.306       -6.484        0.178    10.8
0.0090           -6.279       -6.484        0.205    12.4
0.0100           -6.260       -6.484        0.224    13.6
0.0110           -6.236       -6.484        0.248    15.0
0.0120           -6.222       -6.484        0.262    15.9
0.0130           -6.211       -6.485        0.273    16.5
0.0140           -6.206       -6.485        0.279    16.8
0.0150           -6.187       -6.485        0.298    18.0
0.0160           -6.178       -6.485        0.308    18.6
0.0170           -6.174       -6.486        0.312    18.9
0.0180           -6.159       -6.486        0.327    19.8
0.0190           -6.146       -6.486        0.340    20.5
0.0200           -6.125       -6.487        0.361    21.8
0.0210           -6.096       -6.487        0.391    23.6
0.0220           -6.077       -6.487        0.411    24.8
0.0230           -6.035       -6.488        0.452    27.3
0.0240           -6.013       -6.488        0.475    28.7
0.0250           -6.007       -6.489        0.482    29.1
0.0260           -5.985       -6.489        0.504    30.5
0.0270           -5.978       -6.490        0.512    30.9
0.0280           -5.951       -6.491        0.539    32.6
0.0290           -5.931       -6.491        0.560    33.9
0.0300           -5.897       -6.492        0.595    36.0
0.0310           -5.856       -6.493        0.637    38.5
0.0320           -5.824       -6.494        0.670    40.5
0.0330           -5.810       -6.495        0.684    41.4
